Trophy,Class Position,Car Number,Driver Name,Car Model,Tire Mfg,Region,Run 1,Run 2,Run 3,Total Time,Medal,(blank),Codriver Car Number,Driver Town,Sponsor,(unknown),Division,Run 4,Run 5,Run 6,Diff Behind Next Fastest in Class,Rank PAX,Class Position,Class,Car Number,Driver Name,Car Model,Tire Mfg,Total Time,PAX Factor,PAX Time,Diff Behind Next Fastest PAX,Diff Behind 1st Place PAX,RTP Points,Car Year,Car Model,First Name,Last Name,City,State,Rank Overall
T,1,118,Scott Fraser,2014 Porsche GT3,Bridgestone,San Franc,59.808,59.119,59.651,114.339,,,[18],"San Jose, CA",,,NorPac,56.253,55.367,55.220,,59,1,SS,118,Scott Fraser,2014 Porsche GT3,Bridgestone,114.339,0.826,94.444,0.020,2.961,9687,2014,Porsche GT3,Scott,Fraser,San Jose,CA,275
T,2,113,Perry Aidelbaum,2016 Porsche GT4,Bridgestone,Northern N,60.107,65.561(3),59.525,114.485,,,[13],"Robbinsville, NJ",AutoX4u.com - Axis of Oversteer,,Northeast,55.219,57.229,54.960,(0.146),62,2,SS,113,Perry Aidelbaum,2016 Porsche GT4,Bridgestone,114.485,0.826,94.565,0.092,3.081,9674,2016,Porsche GT4,Perry,Aidelbaum,Robbinsville,NJ,285
T,3,89,Karlton Lew,2015 Porsche GT3,Bridgestone,San Franc,60.171,61.010(1),59.581,114.603,,,[189],"Fremont, CA",,,NorPac,57.458(1),55.746,55.022,(0.118),68,3,SS,89,Karlton Lew,2015 Porsche GT3,Bridgestone,114.603,0.826,94.662,0.004,3.179,9664,2015,Porsche GT3,Karlton,Lew,Fremont,CA,292
T,4,77,Bryan Carbon,2015 Chevrolet Corvette Z0,Bridgestone,Atlanta,59.997,60.766,62.557(1),115.794,,,,"Acworth, GA",,,Southeast,55.797,56.444,56.459,(1.191),132,4,SS,77,Bryan Carbon,2015 Chevy Corvette Z06,Bridgestone,115.794,0.826,95.646,0.002,4.162,9565,2015,Chevy Corvette Z06,Bryan,Carbon,Acworth,GA,340
T,5,87,Ambrose Fung,2014 Porsche GT3,Bridgestone,Northwest,60.101,60.556,60.743,116.001,,,[187],"Calgary, AB",Gods Blessings! Thanks Jay!!,,NorPac,56.202,55.900,56.656,(0.207),150,5,SS,87,Ambrose Fung,2014 Porsche GT3,Bridgestone,116.001,0.826,95.817,0.016,4.333,9548,2014,Porsche GT3,Ambrose,Fung,Calgary,AB,352
T,6,98,Monty Pack,2014 Porsche GT3,Bridgestone,San Franc,59.985,60.465,62.507(1),116.021,,,,"San Francisco, CA",,,NorPac,58.870(1),56.338,56.036,(0.020),152,6,SS,98,Monty Pack,2014 Porsche GT3,Bridgestone,116.021,0.826,95.833,0.004,4.350,9546,2014,Porsche GT3,Monty,Pack,San Francisco,CA,354
T,7,195,Jason Kohler,2017 Chevrolet Corvette GS,Bridgestone,Detroit,62.542,61.176,60.945,116.462,,,[95],"White Lake, MI",careers.gm.com,,Great Lakes,55.582,55.517,DNF,(0.441),198,7,SS,195,Jason Kohler,2017 Chevy Corvette GS,Bridgestone,116.462,0.826,96.198,0.004,4.714,9510,2017,Chevy Corvette GS,Jason,Kohler,White Lake,MI,380
T,8,76,Keith Brown,2016 Porsche Cayman GT4,Kumho,Northwest,61.185,60.858,62.311(1),116.651,,,,"Des Moines, WA",Tight-N-Tidy Racing Team RH,,NorPac,58.366(1),56.574,55.793,(0.189),223,8,SS,76,Keith Brown,2016 Cayman GT4,Kumho,116.651,0.826,96.354,0.001,4.870,9495,2016,Cayman GT4,Keith,Brown,Des Moines,WA,392
,9,189,Eric Lam,2015 Porsche GT3,Bridgestone,San Franc,DNF,67.387,60.444,116.718,,,[89],"Sunnyvale, ca",The hole in my wallet.,,NorPac,59.248(1),56.274,57.112,(0.067),232,9,SS,189,Eric Lam,2015 Porsche GT3,Bridgestone,116.718,0.826,96.409,0.003,4.926,9489,2015,Porsche GT3,Eric,Lam,Sunnyvale,ca,402
,10,78,Mike Brausen,1999 Mazda Miata Sport,Bridgestone,Milwauke,61.983,60.711,61.222,117.102,,,[178],"Bloomington, MN",Borowski Wheel Rental,,Central,57.085,58.444(1),56.391,(0.384),282,10,SS,78,Mike Brausen,1999 Mazda Miata Sport,Bridgestone,117.102,0.826,96.726,0.008,5.243,9458,1999,Mazda Miata Sport,Mike,Brausen,Bloomington,MN,425
